1,3,2
2,5,1
3,6,1
4,6,3
5,3,1
6,3,2
7,5,3
8,2,3
9,5,2
10,6,2
11,3,3
12,3,1
13,1,1
14,1,2
15,2,3
16,5,2
17,4,2
18,2,1
19,6,1
20,6,1
21,3,1
22,5,2
23,5,1
24,3,2
25,2,1
26,1,1
27,1,1
28,5,2
29,2,2
30,3,2
31,3,1
32,3,3
33,4,1
34,3,1
35,4,3
36,2,3
37,4,2
38,3,3
39,5,3
40,1,3
41,6,1
42,3,3
43,4,2
44,6,2
45,4,3
46,3,3
47,4,3
48,3,2
49,3,1
50,4,1
51,4,3
52,1,3
53,1,1
54,2,1
55,2,2
56,6,2
57,5,2
58,6,1
59,4,2
60,6,1
61,2,1
62,6,2
63,5,1
64,4,3
65,6,3
66,4,1
67,1,3
68,6,2
69,5,3
70,6,1
71,3,3
72,1,1
73,4,2
74,1,2
75,3,3
76,5,3
77,2,3
78,2,3
79,4,3
80,6,2
81,5,3
82,3,2
83,1,2
84,6,1
85,4,2
86,5,1
87,3,3
88,2,3
89,1,2
90,2,2
91,3,1
92,6,3
93,4,1
94,4,2
95,4,3
96,1,2
97,4,3
98,6,3
99,6,1
100,3,3
101,3,1
102,3,1
103,2,3
104,3,1
105,6,2
106,3,2
107,2,1
108,6,2
109,3,2
110,2,3
111,4,1
112,1,3
113,6,2
114,5,1
115,4,1
116,3,1
117,5,2
118,5,2
119,4,1
120,6,1
121,3,3
122,1,2
123,1,3
124,4,1
125,1,2
126,6,2
127,6,3
128,4,3
129,1,1
130,2,1
131,4,2
132,6,3
133,3,3
134,5,3
135,3,3
136,4,3
137,1,3
138,3,2
139,2,3
140,3,3
141,6,3
142,2,2
143,3,2
144,4,1
145,4,1
146,1,1
147,5,1
148,3,3
149,2,2
150,4,3
151,6,3
152,4,3
153,2,1
154,6,1
155,5,2
156,2,3
157,4,2
158,2,1
159,6,2
160,2,1
161,5,3
162,3,3
163,1,1
164,4,2
165,6,3
166,5,2
167,6,3
168,4,1
169,6,1
170,5,3
171,2,3
172,4,1
173,1,1
174,1,1
175,5,2
176,2,3
177,3,3
178,3,2
179,2,2
180,5,1
181,5,3
182,5,2
183,6,3
184,1,1
185,6,3
186,4,1
187,4,2
188,6,1
189,3,3
190,2,3
191,1,2
192,1,2
193,2,2
194,5,1
195,5,3
196,6,2
197,1,2
198,3,1
199,3,2
200,5,2
201,3,2
202,1,2
203,4,3
204,3,3
205,1,3
206,5,2
207,2,2
208,2,2
209,4,2
210,3,3
211,1,2
212,2,3
213,4,1
214,5,1
215,4,1
216,5,3
217,2,2
218,4,1
219,2,3
220,4,1
221,6,2
222,4,2
223,1,3
224,6,3
225,4,1
226,1,1
227,6,1
228,3,2
229,3,1
230,3,2
231,1,1
232,6,2
233,6,1
234,1,3
235,1,3
236,1,1
237,6,2
238,5,2
239,6,3
240,1,3
241,3,3
242,3,1
243,2,2
244,2,1
245,5,2
246,4,1
247,2,1
248,2,1
249,1,2
250,2,3
251,2,3
252,5,2
253,4,1
254,4,1
255,1,1
256,2,3
257,4,2
258,3,2
259,3,3
260,4,1
261,4,3
262,6,2
263,4,1
264,4,3
265,4,3
266,4,2
267,3,2
268,4,3
269,5,1
270,4,2
271,3,3
272,5,2
273,2,3
274,3,2
275,3,2
276,6,2
277,5,2
278,3,3
279,4,2
280,4,3
281,1,1
282,5,3
283,4,3
284,3,2
285,1,3
286,1,1
287,6,3
288,6,3
289,6,1
290,1,2
